Trieda cesty;»Ìslo cesty;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - podrobn˝;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - obec/okres;DÂûka cesty / km;
cesta III. triedy;1762;"zaË. cesty III/1762, kriû. III/1762 x II/511 x I/64, okr. Partiz·nske; kon. cesty III/1762, okr. Partiz·nske";okr. Partiz·nske;0,221;
cesta III. triedy;1763;"zaË. cesty III/1763, kriû. III/1750 x III/1763, okr. Partiz·nske; kriû. III/1763 x MK, Kl·tova Nov· Ves »asù S·dok, okr. Partiz·nske; kon. cesty III/1763, Kl·tova Nov· Ves »asù S·dok, okr. Partiz·nske";"okr. Partiz·nske; Kl·tova Nov· Ves »asù S·dok, okr. Partiz·nske";1,672;
cesta III. triedy;1764;"zaË. cesty III/1764, kriû. III/1764 x II/511, VeækÈ Uherce, okr. Partiz·nske; kriû. III/1764 x MK, VeækÈ Uherce, okr. Partiz·nske; kriû. III/1764 x MK, KolaËno, okr. Partiz·nske; kriû. III/1764 x MK, KolaËno »asù Ondraöov·, okr. Partiz·nske; kon. cesty III/1764, KolaËno »asù Ondraöov·, okr. Partiz·nske";"VeækÈ Uherce, okr. Partiz·nske; KolaËno, okr. Partiz·nske; KolaËno »asù Ondraöov·, okr. Partiz·nske";4,706;
cesta III. triedy;1765;"zaË. cesty III/1765, kriû. III/1765 x II/579, okr. Partiz·nske; kriû. III/1765 x MK, SkaËany, okr. Partiz·nske; kon. cesty III/1765, SkaËany, okr. Partiz·nske";"okr. Partiz·nske; SkaËany, okr. Partiz·nske";1,243;
cesta III. triedy;1770;"zaË. cesty III/1770, kriû. III/1770 x I/9, okr. Prievidza; kriû. III/1770 x MK, okr. Prievidza; hr. okr. B·novce nad Bebravou, Prievidza; kriû. III/1770 x III/1830, okr. B·novce nad Bebravou; kriû. III/1770 x III/1844, okr. B·novce nad Bebravou; kriû. III/1770 x III/1831, Uhrovec, okr. B·novce nad Bebravou; kriû. III/1770 x MK, B·novce Nad Bebravou, okr. B·novce nad Bebravou; kriû. III/1770 x III/1834, B·novce Nad Bebravou, okr. B·novce nad Bebravou; kriû. III/1770 x MK, B·novce Nad Bebravou, okr. B·novce nad Bebravou; kriû. III/1770 x II/592 x I/9 x MK, B·novce Nad Bebravou, okr. B·novce nad Bebravou; kriû. III/1770 x MK, B·novce Nad Bebravou, okr. B·novce nad Bebravou; kriû. III/1770 x MK, B·novce Nad Bebravou »asù Bis, okr. B·novce nad Bebravou; kriû. III/1770 x MK, okr. B·novce nad Bebravou; kriû. III/1770 x MK, VeækÈ Chlievany, okr. B·novce nad Bebravou; kriû. III/1770 x III/1827, VeækÈ Chlievany, okr. B·novce nad Bebravou; kriû. III/1770 x MK, VeækÈ Chlievany, okr. B·novce nad Bebravou; kriû. III/1770 x III/1841, Otrh·nky, okr. B·novce nad Bebravou; kriû. III/1770 x MK, Otrh·nky, okr. B·novce nad Bebravou; kriû. III/1770 x MK, Hal·Ëovce, okr. B·novce nad Bebravou; kriû. III/1770 x MK, okr. B·novce nad Bebravou; kriû. III/1753 x III/1770, Pochabany, okr. B·novce nad Bebravou; kriû. III/1770 x MK, Pochabany, okr. B·novce nad Bebravou; kon. cesty III/1770, Pochabany, okr. B·novce nad Bebravou";"okr. Prievidza; hr. okr. B·novce nad Bebravou, Prievidza; okr. B·novce nad Bebravou; Uhrovec, okr. B·novce nad Bebravou; B·novce Nad Bebravou, okr. B·novce nad Bebravou; B·novce Nad Bebravou »asù Bis, okr. B·novce nad Bebravou; okr. B·novce nad Bebravou; VeækÈ Chlievany, okr. B·novce nad Bebravou; Otrh·nky, okr. B·novce nad Bebravou; Hal·Ëovce, okr. B·novce nad Bebravou; okr. B·novce nad Bebravou; Pochabany, okr. B·novce nad Bebravou";27,553;
cesta III. triedy;1771;"zaË. cesty III/1771, kriû. III/1771 x I/9, okr. Prievidza; kriû. III/1771 x MK, Nitrica, okr. Prievidza; kon. cesty III/1771, kriû. III/1771 x I/9, okr. Prievidza";"okr. Prievidza; Nitrica, okr. Prievidza; okr. Prievidza";2,453;
cesta III. triedy;1772;"zaË. cesty III/1772, kriû. III/1772 x I/9, okr. Prievidza; kriû. III/1772 x MK, Nitrianske SuËany, okr. Prievidza; kon. cesty III/1772, Nitrianske SuËany, okr. Prievidza";"okr. Prievidza; Nitrianske SuËany, okr. Prievidza";1,149;
cesta III. triedy;1773;"zaË. cesty III/1773, kriû. III/1773 x III/1776, Opatovce Nad Nitrou, okr. Prievidza; kriû. III/1773 x MK, Opatovce Nad Nitrou, okr. Prievidza; kriû. III/1773 x MK, Koö, okr. Prievidza; kriû. III/1773 x III/1784, Koö, okr. Prievidza; kriû. III/1773 x MK, Koö, okr. Prievidza; kriû. III/1773 x I/9, okr. Prievidza; kriû. III/1773 x MK, Sebedraûie, okr. Prievidza; kon. cesty III/1773, kriû. III/1773 x III/1778, Sebedraûie, okr. Prievidza";"Opatovce Nad Nitrou, okr. Prievidza; Koö, okr. Prievidza; okr. Prievidza; Sebedraûie, okr. Prievidza";5,736;
cesta III. triedy;1774;"zaË. cesty III/1774, kriû. III/1774 x I/64 x MK, Prievidza, okr. Prievidza; kriû. III/1774 x MK, Prievidza, okr. Prievidza; kriû. III/1774 x III/1775, okr. Prievidza; kriû. III/1774 x MK, okr. Prievidza; kriû. III/1774 x III/1776, Bojnice, okr. Prievidza; kriû. III/1774 x MK, Bojnice, okr. Prievidza; kriû. III/1774 x MK, okr. Prievidza; kriû. III/1774 x MK, äutovce, okr. Prievidza; kriû. III/1774 x MK, okr. Prievidza; kriû. III/1774 x MK, Kostoln· Ves, okr. Prievidza; kriû. III/1774 x III/1777, Kostoln· Ves, okr. Prievidza; kriû. III/1774 x MK, okr. Prievidza; kriû. III/1774 x II/574, Nitrianske Rudno, okr. Prievidza; kon. cesty III/1774, kriû. III/1774 x II/574, Nitrianske Rudno, okr. Prievidza";"Prievidza, okr. Prievidza; okr. Prievidza; Bojnice, okr. Prievidza; okr. Prievidza; äutovce, okr. Prievidza; okr. Prievidza; Kostoln· Ves, okr. Prievidza; okr. Prievidza; Nitrianske Rudno, okr. Prievidza";16,421;
cesta III. triedy;1775;"zaË. cesty III/1775, kriû. III/1774 x III/1775, okr. Prievidza; kriû. III/1775 x MK, Bojnice, okr. Prievidza; kriû. III/1775 x MK, Bojnice »asù Dubnica, okr. Prievidza; kriû. III/1775 x MK, okr. Prievidza; kriû. III/1775 x MK, Kanianka, okr. Prievidza; kon. cesty III/1775, Kanianka, okr. Prievidza";"okr. Prievidza; Bojnice, okr. Prievidza; Bojnice »asù Dubnica, okr. Prievidza; okr. Prievidza; Kanianka, okr. Prievidza";5,039;
