Trieda cesty;»Ìslo cesty;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - podrobn˝;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - obec/okres;DÂûka cesty / km;
cesta III. triedy;2487;"zaË. cesty III/2487, kriû. III/2487 x III/2492, Trnav· Hora, okr. éiar nad Hronom; kriû. III/2487 x MK, Trnav· Hora, okr. éiar nad Hronom; kriû. III/2487 x MK, okr. éiar nad Hronom; kriû. III/2487 x III/2488, okr. éiar nad Hronom; kriû. III/2487 x MK, okr. éiar nad Hronom; kriû. III/2487 x MK, Ihr·Ë, okr. éiar nad Hronom; kriû. III/2487 x MK, okr. éiar nad Hronom; kriû. III/2487 x MK, NevoænÈ, okr. éiar nad Hronom; kriû. III/2487 x MK, okr. éiar nad Hronom; kriû. III/2487 x MK, Kremnica, okr. éiar nad Hronom; kriû. III/2487 x II/578 x MK, Kremnica, okr. éiar nad Hronom; kon. cesty III/2487, kriû. III/2487 x II/578 x MK, Kremnica, okr. éiar nad Hronom";"Trnav· Hora, okr. éiar nad Hronom; okr. éiar nad Hronom; Ihr·Ë, okr. éiar nad Hronom; okr. éiar nad Hronom; NevoænÈ, okr. éiar nad Hronom; okr. éiar nad Hronom; Kremnica, okr. éiar nad Hronom";18,145;
cesta III. triedy;2488;"zaË. cesty III/2488, kriû. III/2487 x III/2488, okr. éiar nad Hronom; kriû. III/2488 x MK, Jastrab·, okr. éiar nad Hronom; kriû. III/2488 x MK, okr. éiar nad Hronom; kriû. III/2488 x MK, Bartoöova LehÙtka, okr. éiar nad Hronom; kon. cesty III/2488, kriû. III/2488 x I/65, Bartoöova LehÙtka, okr. éiar nad Hronom";"okr. éiar nad Hronom; Jastrab·, okr. éiar nad Hronom; okr. éiar nad Hronom; Bartoöova LehÙtka, okr. éiar nad Hronom";5,319;
cesta III. triedy;2489;"zaË. cesty III/2489, kon. cesty III/2538, kriû. III/2489 x III/2492 x III/2538, Trnav· Hora, okr. éiar nad Hronom; kriû. III/2489 x MK, Trnav· Hora, okr. éiar nad Hronom; kriû. III/2489 x MK, okr. éiar nad Hronom; kriû. III/2489 x MK, KæaËany, okr. éiar nad Hronom; kon. cesty III/2489, KæaËany, okr. éiar nad Hronom";"Trnav· Hora, okr. éiar nad Hronom; okr. éiar nad Hronom; KæaËany, okr. éiar nad Hronom";4,096;
cesta III. triedy;2490;"zaË. cesty III/2490, kriû. III/2490 x III/2492, Hronsk· D˙brava, okr. éiar nad Hronom; kon. cesty III/2490, Hronsk· D˙brava, okr. éiar nad Hronom";Hronsk· D˙brava, okr. éiar nad Hronom;0,187;
cesta III. triedy;2491;"zaË. cesty III/2491, kriû. III/2491 x III/2492, Hronsk· D˙brava, okr. éiar nad Hronom; kriû. III/2491 x MK, Hronsk· D˙brava, okr. éiar nad Hronom; kriû. III/2491 x MK, Hronsk· D˙brava »asù Horn· D˙, okr. éiar nad Hronom; kon. cesty III/2491, kriû. III/2491 x MK, Hronsk· D˙brava »asù Horn· D˙, okr. éiar nad Hronom";"Hronsk· D˙brava, okr. éiar nad Hronom; Hronsk· D˙brava »asù Horn· D˙, okr. éiar nad Hronom";3,196;
cesta III. triedy;2492;"zaË. cesty III/2492, kon. cesty III/2484, kriû. III/2484 x III/2492 x I/65 x R1, okr. éiar nad Hronom; kriû. III/2492 x MK, ä·öovskÈ Podhradie, okr. éiar nad Hronom; kriû. III/2492 x MK, okr. éiar nad Hronom; kriû. III/2486 x III/2492, okr. éiar nad Hronom; kriû. III/2492 x MK, okr. éiar nad Hronom; kriû. III/2492 x MK, Pitelov· »asù Dolina, okr. éiar nad Hronom; kriû. III/2487 x III/2492, Trnav· Hora, okr. éiar nad Hronom; kon. cesty III/2538, kriû. III/2489 x III/2492 x III/2538, Trnav· Hora, okr. éiar nad Hronom; kriû. III/2492 x MK, Hronsk· D˙brava, okr. éiar nad Hronom; kriû. III/2490 x III/2492, Hronsk· D˙brava, okr. éiar nad Hronom; kriû. III/2491 x III/2492, Hronsk· D˙brava, okr. éiar nad Hronom; hr. spr. BB RSC - BB, BB RSC - ZH, hr. okr. Zvolen, éiar nad Hronom; kriû. III/2441 x III/2492, okr. Zvolen; kon. cesty III/2492, kriû. III/2492 x R1, okr. Zvolen";"okr. éiar nad Hronom; ä·öovskÈ Podhradie, okr. éiar nad Hronom; okr. éiar nad Hronom; Pitelov· »asù Dolina, okr. éiar nad Hronom; Trnav· Hora, okr. éiar nad Hronom; Hronsk· D˙brava, okr. éiar nad Hronom; hr. okr. Zvolen, éiar nad Hronom; okr. Zvolen";10,598;
cesta III. triedy;2493;"zaË. cesty III/2494, kriû. III/2493 x III/2494 x I/65, Bzenica, okr. éiar nad Hronom; kriû. III/2493 x MK, Bzenica, okr. éiar nad Hronom; kriû. III/2493 x MK, okr. éiar nad Hronom; kriû. III/2493 x MK, Vyhne, okr. éiar nad Hronom; hr. okr. Bansk· ätiavnica, éiar nad Hronom; kriû. III/2493 x MK, Bansk· ätiavnica »asù Banky, okr. Bansk· ätiavnica; kriû. III/2493 x MK, okr. Bansk· ätiavnica; kriû. III/2493 x III/2530 x MK, okr. Bansk· ätiavnica; kriû. III/2493 x III/2530 x MK, okr. Bansk· ätiavnica; kriû. III/2493 x MK, okr. Bansk· ätiavnica; kon. cesty III/2493, kriû. III/2493 x I/51, okr. Bansk· ätiavnica";"Bzenica, okr. éiar nad Hronom; okr. éiar nad Hronom; Vyhne, okr. éiar nad Hronom; hr. okr. Bansk· ätiavnica, éiar nad Hronom; Bansk· ätiavnica »asù Banky, okr. Bansk· ätiavnica; okr. Bansk· ätiavnica";16,353;
cesta III. triedy;2494;"zaË. cesty III/2494, kriû. III/2493 x III/2494 x I/65, Bzenica, okr. éiar nad Hronom; kriû. III/2494 x MK, Bzenica, okr. éiar nad Hronom; kriû. III/2494 x MK, Bzenica »asù Bukovina Pri Bze, okr. éiar nad Hronom; kon. cesty III/2494, Bzenica »asù Bukovina Pri Bze, okr. éiar nad Hronom";"Bzenica, okr. éiar nad Hronom; Bzenica »asù Bukovina Pri Bze, okr. éiar nad Hronom";0,823;
cesta III. triedy;2495;"zaË. cesty III/2495, kriû. III/2495 x I/65, okr. éiar nad Hronom; kriû. III/2495 x MK, HlinÌk Nad Hronom, okr. éiar nad Hronom; kriû. III/2495 x III/2498, HlinÌk Nad Hronom, okr. éiar nad Hronom; kriû. III/2495 x MK, HlinÌk Nad Hronom, okr. éiar nad Hronom; kriû. III/2495 x III/2496, okr. éiar nad Hronom; kriû. III/2495 x MK, okr. éiar nad Hronom; kriû. III/2483 x III/2495, Doln· édaÚa, okr. éiar nad Hronom; kriû. III/2495 x MK, Doln· édaÚa, okr. éiar nad Hronom; kriû. III/2495 x MK, Horn· édaÚa, okr. éiar nad Hronom; kriû. III/2495 x III/2497, Horn· édaÚa, okr. éiar nad Hronom; kriû. III/2495 x MK, okr. éiar nad Hronom; kriû. III/2495 x MK, Prochot, okr. éiar nad Hronom; kriû. III/2495 x MK, okr. éiar nad Hronom; kon. cesty III/2495, okr. éiar nad Hronom";"okr. éiar nad Hronom; HlinÌk Nad Hronom, okr. éiar nad Hronom; okr. éiar nad Hronom; Doln· édaÚa, okr. éiar nad Hronom; Horn· édaÚa, okr. éiar nad Hronom; okr. éiar nad Hronom; Prochot, okr. éiar nad Hronom; okr. éiar nad Hronom";11,43;
cesta III. triedy;2496;"zaË. cesty III/2496, kriû. III/2495 x III/2496, okr. éiar nad Hronom; kriû. III/2496 x MK, okr. éiar nad Hronom; kon. cesty III/2496, okr. éiar nad Hronom";okr. éiar nad Hronom;0,196;
cesta III. triedy;2497;"zaË. cesty III/2497, kriû. III/2495 x III/2497, Horn· édaÚa, okr. éiar nad Hronom; kriû. III/2497 x MK, okr. éiar nad Hronom; kriû. III/2497 x MK, Horn· Trn·vka, okr. éiar nad Hronom; kriû. III/2497 x MK, Prestavlky, okr. éiar nad Hronom; kon. cesty III/2497, Prestavlky, okr. éiar nad Hronom";"Horn· édaÚa, okr. éiar nad Hronom; okr. éiar nad Hronom; Horn· Trn·vka, okr. éiar nad Hronom; Prestavlky, okr. éiar nad Hronom";2,52;
cesta III. triedy;2498;"zaË. cesty III/2498, kriû. III/2495 x III/2498, HlinÌk Nad Hronom, okr. éiar nad Hronom; kriû. III/2498 x MK, HlinÌk Nad Hronom, okr. éiar nad Hronom; kriû. III/2498 x I/65, HlinÌk Nad Hronom, okr. éiar nad Hronom; kriû. III/2498 x MK, HlinÌk Nad Hronom »asù Ulica , okr. éiar nad Hronom; kriû. III/2498 x MK, okr. éiar nad Hronom; kriû. III/2498 x MK, SklenÈ Teplice, okr. éiar nad Hronom; kriû. III/2498 x III/2499, okr. éiar nad Hronom; kriû. III/2498 x MK, okr. éiar nad Hronom; hr. okr. Bansk· ätiavnica, éiar nad Hronom; kriû. III/2498 x MK, okr. Bansk· ätiavnica; kriû. III/2498 x MK, Podhorie, okr. Bansk· ätiavnica; kriû. III/2498 x III/2538, Podhorie, okr. Bansk· ätiavnica; kriû. III/2498 x MK, Podhorie, okr. Bansk· ätiavnica; kon. cesty III/2498, Podhorie, okr. Bansk· ätiavnica";"HlinÌk Nad Hronom, okr. éiar nad Hronom; HlinÌk Nad Hronom »asù Ulica , okr. éiar nad Hronom; okr. éiar nad Hronom; SklenÈ Teplice, okr. éiar nad Hronom; okr. éiar nad Hronom; hr. okr. Bansk· ätiavnica, éiar nad Hronom; okr. Bansk· ätiavnica; Podhorie, okr. Bansk· ätiavnica";15,666;
cesta III. triedy;2499;"zaË. cesty III/2499, kriû. III/2498 x III/2499, okr. éiar nad Hronom; kriû. III/2499 x MK, SklenÈ Teplice »asù L·ne, okr. éiar nad Hronom; kriû. III/2499 x MK, Repiöte, okr. éiar nad Hronom; kon. cesty III/2499, Repiöte, okr. éiar nad Hronom";"okr. éiar nad Hronom; SklenÈ Teplice »asù L·ne, okr. éiar nad Hronom; Repiöte, okr. éiar nad Hronom";1,865;
cesta III. triedy;2500;"zaË. cesty III/2500, kriû. III/2500 x I/65, okr. éiar nad Hronom; kriû. III/2500 x MK, okr. éiar nad Hronom; kriû. III/2500 x MK, éiar Nad Hronom »asù ä·öovskÈ, okr. éiar nad Hronom; kon. cesty III/2500, éiar Nad Hronom »asù ä·öovskÈ, okr. éiar nad Hronom";"okr. éiar nad Hronom; éiar Nad Hronom »asù ä·öovskÈ, okr. éiar nad Hronom";1,698;
cesta III. triedy;2501;"zaË. cesty III/2501, kriû. III/2501 x I/65, Kremnica, okr. éiar nad Hronom; kriû. III/2501 x MK, Kremnica, okr. éiar nad Hronom; kriû. III/2501 x MK, okr. éiar nad Hronom; kriû. III/2501 x MK, L˙Ëky, okr. éiar nad Hronom; kriû. III/2501 x MK, Kopernica, okr. éiar nad Hronom; kon. cesty III/2501, Kopernica, okr. éiar nad Hronom";"Kremnica, okr. éiar nad Hronom; okr. éiar nad Hronom; L˙Ëky, okr. éiar nad Hronom; Kopernica, okr. éiar nad Hronom";7,638;
cesta III. triedy;2502;"zaË. cesty III/2502, kriû. III/2502 x I/65, okr. éiar nad Hronom; kriû. III/2502 x MK, okr. éiar nad Hronom; kriû. III/2502 x MK, Kuneöov, okr. éiar nad Hronom; kon. cesty III/2502, Kuneöov, okr. éiar nad Hronom";"okr. éiar nad Hronom; Kuneöov, okr. éiar nad Hronom";2,862;
cesta III. triedy;2503;"zaË. cesty III/2503, kriû. III/2503 x I/65, okr. éiar nad Hronom; kon. cesty III/2503, okr. éiar nad Hronom";okr. éiar nad Hronom;0,084;
cesta III. triedy;2504;"zaË. cesty III/2504, kriû. III/2504 x II/578, okr. éiar nad Hronom; kriû. III/2504 x MK, Krahule, okr. éiar nad Hronom; kriû. III/2504 x MK, okr. éiar nad Hronom; hr. okr. TurËianske Teplice, éiar nad Hronom; kriû. III/2504 x MK, okr. éiar nad Hronom; kon. cesty III/2504, kriû. III/2504 x I/65, okr. éiar nad Hronom";"okr. éiar nad Hronom; Krahule, okr. éiar nad Hronom; okr. éiar nad Hronom; hr. okr. TurËianske Teplice, éiar nad Hronom; okr. éiar nad Hronom";6,621;
cesta III. triedy;2510;"zaË. cesty III/2510, kriû. III/2510 x I/65, Orovnica, okr. éarnovica; kriû. III/2510 x MK, Orovnica, okr. éarnovica; kon. cesty III/2510, Orovnica, okr. éarnovica";Orovnica, okr. éarnovica;1,602;
cesta III. triedy;2511;"zaË. cesty III/2511, kriû. III/2511 x I/65, Orovnica, okr. éarnovica; kriû. III/2511 x MK, Tekovsk· Breznica, okr. éarnovica; kriû. III/2511 x MK, Brehy, okr. éarnovica; kriû. III/2511 x III/2514, Brehy, okr. éarnovica; kriû. III/2511 x MK, Brehy, okr. éarnovica; kriû. III/2511 x III/2515, Brehy, okr. éarnovica; kriû. III/2511 x III/2517, Rudno Nad Hronom, okr. éarnovica; kriû. III/2511 x III/2518, Rudno Nad Hronom, okr. éarnovica; kriû. III/2511 x MK, Rudno Nad Hronom, okr. éarnovica; kriû. III/2511 x MK, Voznica, okr. éarnovica; kriû. III/2511 x MK, okr. éarnovica; kon. cesty III/2511, kriû. III/2511 x III/2530, éarnovica, okr. éarnovica";"Orovnica, okr. éarnovica; Tekovsk· Breznica, okr. éarnovica; Brehy, okr. éarnovica; Rudno Nad Hronom, okr. éarnovica; Voznica, okr. éarnovica; okr. éarnovica; éarnovica, okr. éarnovica";16,382;
cesta III. triedy;2512;"zaË. cesty III/2515, kriû. III/2512 x III/2515 x I/65, Nov· BaÚa, okr. éarnovica; kriû. III/2512 x MK, Nov· BaÚa, okr. éarnovica; kriû. III/2512 x III/2513, Nov· BaÚa, okr. éarnovica; kriû. III/2512 x MK, Nov· BaÚa, okr. éarnovica; kriû. III/2512 x MK, okr. éarnovica; kriû. III/2512 x MK, Nov· BaÚa »asù Star· Huta, okr. éarnovica; kriû. III/2512 x MK, okr. éarnovica; kriû. III/2512 x MK, Veæk· Lehota, okr. éarnovica; kriû. III/2512 x MK, okr. éarnovica; kon. cesty III/2512, kriû. III/1622 x III/2512, okr. éarnovica";"Nov· BaÚa, okr. éarnovica; okr. éarnovica; Nov· BaÚa »asù Star· Huta, okr. éarnovica; okr. éarnovica; Veæk· Lehota, okr. éarnovica; okr. éarnovica";14,709;
cesta III. triedy;2513;"zaË. cesty III/2513, kriû. III/2512 x III/2513, Nov· BaÚa, okr. éarnovica; kriû. III/2513 x MK, Nov· BaÚa, okr. éarnovica; kriû. III/2513 x MK, okr. éarnovica; kon. cesty III/2513, kriû. III/2513 x II/512, okr. éarnovica";"Nov· BaÚa, okr. éarnovica; okr. éarnovica";9,972;
cesta III. triedy;2514;"zaË. cesty III/2514, kriû. III/2514 x I/65, Nov· BaÚa, okr. éarnovica; Nov· BaÚa, okr. éarnovica; zaË./kon. nevyb. ˙seku, okr. éarnovica; kon. cesty III/2514, kriû. III/2511 x III/2514, Brehy, okr. éarnovica";"Nov· BaÚa, okr. éarnovica; okr. éarnovica; Brehy, okr. éarnovica";0,349;
cesta III. triedy;2515;"zaË. cesty III/2515, kriû. III/2512 x III/2515 x I/65, Nov· BaÚa, okr. éarnovica; kriû. III/2515 x R1, okr. éarnovica; kriû. III/2515 x MK, Brehy, okr. éarnovica; kon. cesty III/2515, kriû. III/2511 x III/2515, Brehy, okr. éarnovica";"Nov· BaÚa, okr. éarnovica; okr. éarnovica; Brehy, okr. éarnovica";0,725;
cesta III. triedy;2516;"zaË. cesty III/2516, Nov· BaÚa, okr. éarnovica; kon. cesty III/2516, Nov· BaÚa, okr. éarnovica";Nov· BaÚa, okr. éarnovica;0,181;
cesta III. triedy;2517;"zaË. cesty III/2517, kriû. III/2511 x III/2517, Rudno Nad Hronom, okr. éarnovica; kriû. III/2517 x MK, Rudno Nad Hronom, okr. éarnovica; kon. cesty III/2517, Rudno Nad Hronom, okr. éarnovica";Rudno Nad Hronom, okr. éarnovica;0,44;
cesta III. triedy;2518;"zaË. cesty III/2518, kriû. III/2511 x III/2518, Rudno Nad Hronom, okr. éarnovica; kriû. III/2518 x MK, Rudno Nad Hronom, okr. éarnovica; kriû. III/2518 x MK, okr. éarnovica; kon. cesty III/2518, okr. éarnovica";"Rudno Nad Hronom, okr. éarnovica; okr. éarnovica";1,867;
cesta III. triedy;2519;"zaË. cesty III/2519, kriû. III/2519 x I/65 x R1, okr. éiar nad Hronom; kriû. III/2519 x I/65 x R1, hr. okr. éarnovica, éiar nad Hronom; kriû. III/2519 x I/65 x R1, okr. éarnovica; kon. cesty III/2519, éarnovica »asù ReviötskÈ Podz, okr. éarnovica";"okr. éiar nad Hronom; hr. okr. éarnovica, éiar nad Hronom; okr. éarnovica; éarnovica »asù ReviötskÈ Podz, okr. éarnovica";1,339;
cesta III. triedy;2520;"zaË. cesty III/2520, kriû. III/2520 x III/2530, Hodruöa - H·mre, okr. éarnovica; kriû. III/2520 x MK, Hodruöa - H·mre, okr. éarnovica; kriû. III/2520 x MK, Hodruöa - H·mre »asù Kopanice, okr. éarnovica; hr. okr. Bansk· ätiavnica, éarnovica; kriû. III/2520 x MK, okr. Bansk· ätiavnica; kriû. III/2520 x III/2531, okr. Bansk· ätiavnica; kon. cesty III/2520, kriû. III/2520 x II/524, okr. Bansk· ätiavnica";"Hodruöa - H·mre, okr. éarnovica; Hodruöa - H·mre »asù Kopanice, okr. éarnovica; hr. okr. Bansk· ätiavnica, éarnovica; okr. Bansk· ätiavnica";7,637;
cesta III. triedy;2521;"zaË. cesty III/2521, kriû. III/2521 x I/76, Hronsk˝ BeÚadik, okr. éarnovica; kriû. III/2521 x MK, Hronsk˝ BeÚadik, okr. éarnovica; hr. vl. BB SK, NR SK, hr. spr. BB RSC - ZH, RSUC NR - NR, hr. okr. ZlatÈ Moravce, éarnovica; kriû. III/2521 x MK, okr. ZlatÈ Moravce; kriû. III/2521 x MK, TekovskÈ Nemce, okr. ZlatÈ Moravce; kriû. III/2521 x MK, okr. ZlatÈ Moravce; kriû. III/2521 x I/65 x R1, okr. ZlatÈ Moravce; kon. cesty III/2521, kriû. III/2521 x I/65 x R1, hr. vl. NDS, NR SK, STAT, hr. spr. GRO, NDS - SSUR NB, RSUC NR - NR, okr. ZlatÈ Moravce";"Hronsk˝ BeÚadik, okr. éarnovica; hr. okr. ZlatÈ Moravce, éarnovica; okr. ZlatÈ Moravce; TekovskÈ Nemce, okr. ZlatÈ Moravce; okr. ZlatÈ Moravce";5,537;
cesta III. triedy;2522;"zaË. cesty III/2522, kriû. III/1622 x III/2522, Mal· Lehota, okr. éarnovica; kriû. III/2522 x MK, Mal· Lehota, okr. éarnovica; kriû. III/2522 x MK, Mal· Lehota »asù Debn·rov ät·, okr. éarnovica; kriû. III/2522 x MK, Mal· Lehota, okr. éarnovica; kon. cesty III/2522, Mal· Lehota, okr. éarnovica";"Mal· Lehota, okr. éarnovica; Mal· Lehota »asù Debn·rov ät·, okr. éarnovica; Mal· Lehota, okr. éarnovica";5,778;
cesta III. triedy;2523;"zaË. cesty III/2523, kriû. III/2523 x II/512, HornÈ H·mre, okr. éarnovica; kriû. III/2523 x MK, HornÈ H·mre, okr. éarnovica; kriû. III/2523 x III/2524, éupkov, okr. éarnovica; kriû. III/2523 x MK, éupkov, okr. éarnovica; kriû. III/2523 x MK, HrabiËov, okr. éarnovica; kriû. III/2523 x MK, Ostr˝ Gr˙Ú, okr. éarnovica; kriû. III/2523 x MK, okr. éarnovica; kriû. III/2523 x MK, Kæak, okr. éarnovica; kon. cesty III/2523, Kæak, okr. éarnovica";"HornÈ H·mre, okr. éarnovica; éupkov, okr. éarnovica; HrabiËov, okr. éarnovica; Ostr˝ Gr˙Ú, okr. éarnovica; okr. éarnovica; Kæak, okr. éarnovica";10,25;
cesta III. triedy;2524;"zaË. cesty III/2524, kriû. III/2523 x III/2524, éupkov, okr. éarnovica; kriû. III/2524 x MK, éupkov, okr. éarnovica; kon. cesty III/2524, éupkov, okr. éarnovica";éupkov, okr. éarnovica;2,851;
cesta III. triedy;2530;"zaË. cesty III/2530, kriû. III/2493 x III/2530 x MK, okr. Bansk· ätiavnica; kriû. III/2530 x MK, okr. Bansk· ätiavnica; hr. okr. Bansk· ätiavnica, éarnovica; kriû. III/2530 x MK, okr. éarnovica; kriû. III/2530 x MK, Hodruöa - H·mre, okr. éarnovica; kriû. III/2520 x III/2530, Hodruöa - H·mre, okr. éarnovica; kriû. III/2530 x MK, Hodruöa - H·mre, okr. éarnovica; kriû. III/2530 x MK, okr. éarnovica; kriû. III/2530 x MK, éarnovica, okr. éarnovica; kriû. III/2511 x III/2530, éarnovica, okr. éarnovica; kriû. III/2530 x MK, éarnovica, okr. éarnovica; kriû. III/2530 x II/428, éarnovica, okr. éarnovica; kon. cesty III/2530, kriû. III/2530 x II/428, éarnovica, okr. éarnovica";"okr. Bansk· ätiavnica; hr. okr. Bansk· ätiavnica, éarnovica; okr. éarnovica; Hodruöa - H·mre, okr. éarnovica; okr. éarnovica; éarnovica, okr. éarnovica";15,296;
cesta III. triedy;2531;"zaË. cesty III/2531, kriû. III/2520 x III/2531, okr. Bansk· ätiavnica; kon. cesty III/2531, Vysok·, okr. Bansk· ätiavnica";"okr. Bansk· ätiavnica; Vysok·, okr. Bansk· ätiavnica";2,698;
cesta III. triedy;2532;"zaË. cesty III/2532, kriû. III/2532 x II/524, okr. Bansk· ätiavnica; kriû. III/2532 x MK, Dek˝ö, okr. Bansk· ätiavnica; kon. cesty III/2532, Dek˝ö, okr. Bansk· ätiavnica";"okr. Bansk· ätiavnica; Dek˝ö, okr. Bansk· ätiavnica";1,197;
cesta III. triedy;2533;"zaË. cesty III/2533, kriû. III/2533 x II/524, okr. Bansk· ätiavnica; kriû. III/2533 x MK, Bansk· ätiavnica »asù PoË˙vad, okr. Bansk· ätiavnica; kriû. III/2533 x MK, okr. Bansk· ätiavnica; kriû. III/2533 x MK, BaÔan, okr. Bansk· ätiavnica; kon. cesty III/2533, kriû. III/1587 x III/2533, BaÔan, okr. Bansk· ätiavnica";"okr. Bansk· ätiavnica; Bansk· ätiavnica »asù PoË˙vad, okr. Bansk· ätiavnica; okr. Bansk· ätiavnica; BaÔan, okr. Bansk· ätiavnica";12,645;
cesta III. triedy;2534;"zaË. cesty III/2534, kriû. III/2534 x II/524, okr. Bansk· ätiavnica; kriû. III/2534 x MK, okr. Bansk· ätiavnica; kriû. III/2534 x MK, Horn· RoveÚ, okr. Bansk· ätiavnica; kon. cesty III/2534, Horn· RoveÚ, okr. Bansk· ätiavnica";"okr. Bansk· ätiavnica; Horn· RoveÚ, okr. Bansk· ätiavnica";2,52;
cesta III. triedy;2535;"zaË. cesty III/2535, kriû. III/2535 x II/524, Bansk· ätiavnica, okr. Bansk· ätiavnica; kriû. III/2535 x MK, Bansk· ätiavnica, okr. Bansk· ätiavnica; kriû. III/2535 x MK, Bansk· ätiavnica »asù ätefunk, okr. Bansk· ätiavnica; kriû. III/2535 x MK, Bansk· ätiavnica »asù Sitnian, okr. Bansk· ätiavnica; kriû. III/2535 x MK, Ilija, okr. Bansk· ätiavnica; kon. cesty III/2535, Ilija, okr. Bansk· ätiavnica";"Bansk· ätiavnica, okr. Bansk· ätiavnica; Bansk· ätiavnica »asù ätefunk, okr. Bansk· ätiavnica; Bansk· ätiavnica »asù Sitnian, okr. Bansk· ätiavnica; Ilija, okr. Bansk· ätiavnica";3,615;
cesta III. triedy;2536;"zaË. cesty III/2536, kriû. III/2536 x I/51 x MK, Bansk· ätiavnica, okr. Bansk· ätiavnica; kriû. III/2536 x MK, Bansk· ätiavnica, okr. Bansk· ätiavnica; kriû. III/2536 x MK, okr. Bansk· ätiavnica; kriû. III/2536 x MK, Bansk˝ Studenec, okr. Bansk· ätiavnica; kon. cesty III/2536, Bansk˝ Studenec, okr. Bansk· ätiavnica";"Bansk· ätiavnica, okr. Bansk· ätiavnica; okr. Bansk· ätiavnica; Bansk˝ Studenec, okr. Bansk· ätiavnica";6,09;
cesta III. triedy;2537;"zaË. cesty III/2537, kriû. III/2537 x I/51, Bansk· ätiavnica, okr. Bansk· ätiavnica; kriû. III/2537 x MK, Bansk· ätiavnica, okr. Bansk· ätiavnica; kon. cesty III/2537, kriû. III/2537 x MK, Bansk· ätiavnica, okr. Bansk· ätiavnica";Bansk· ätiavnica, okr. Bansk· ätiavnica;0,785;
cesta III. triedy;2538;"zaË. cesty III/2538, kriû. III/2538 x I/51, okr. Bansk· ätiavnica; kriû. III/2538 x MK, okr. Bansk· ätiavnica; kriû. III/2538 x MK, Podhorie, okr. Bansk· ätiavnica; kriû. III/2498 x III/2538, Podhorie, okr. Bansk· ätiavnica; kriû. III/2538 x MK, Podhorie, okr. Bansk· ätiavnica; kriû. III/2538 x MK, okr. Bansk· ätiavnica; kriû. III/2538 x MK, MoËiar, okr. Bansk· ätiavnica; zaË./kon. nevyb. ˙seku, MoËiar, okr. Bansk· ätiavnica; hr. okr. Bansk· ätiavnica, éiar nad Hronom; kriû. III/2538 x MK, Trnav· Hora, okr. éiar nad Hronom; zaË. cesty III/2489, kon. cesty III/2538, kriû. III/2489 x III/2492 x III/2538, Trnav· Hora, okr. éiar nad Hronom";"okr. Bansk· ätiavnica; Podhorie, okr. Bansk· ätiavnica; okr. Bansk· ätiavnica; MoËiar, okr. Bansk· ätiavnica; hr. okr. Bansk· ätiavnica, éiar nad Hronom; Trnav· Hora, okr. éiar nad Hronom";13,267;
cesta III. triedy;2539;"zaË. cesty III/2539, kriû. III/2539 x I/51, Bansk· Bel·, okr. Bansk· ätiavnica; kriû. III/2539 x MK, Bansk· Bel·, okr. Bansk· ätiavnica; kon. cesty III/2539, Bansk· Bel·, okr. Bansk· ätiavnica";Bansk· Bel·, okr. Bansk· ätiavnica;0,442;
cesta III. triedy;2550;"zaË. cesty III/2550, kriû. III/2550 x I/51, okr. Krupina; kriû. III/2550 x MK, okr. Krupina; kon. cesty III/2550, Hontianske Nemce »asù Sitnian, okr. Krupina";"okr. Krupina; Hontianske Nemce »asù Sitnian, okr. Krupina";4,988;
cesta III. triedy;2551;"zaË. cesty III/2551, kriû. III/1550 x III/2551, Hontianske Moravce, okr. Krupina; kriû. III/2551 x MK, Hontianske Moravce, okr. Krupina; kriû. III/2551 x III/2552, okr. Krupina; kriû. III/2551 x III/2553, okr. Krupina; kriû. III/2551 x MK, okr. Krupina; kon. cesty III/2551, kriû. III/2551 x I/66, okr. Krupina";"Hontianske Moravce, okr. Krupina; okr. Krupina";7,228;
cesta III. triedy;2552;"zaË. cesty III/2552, kriû. III/2551 x III/2552, okr. Krupina; kriû. III/2552 x MK, okr. Krupina; kriû. III/2552 x MK, S˙dovce, okr. Krupina; kon. cesty III/2552, S˙dovce, okr. Krupina";"okr. Krupina; S˙dovce, okr. Krupina";2,499;
cesta III. triedy;2553;"zaË. cesty III/2553, kriû. III/2551 x III/2553, okr. Krupina; kriû. III/2553 x MK, Liöov, okr. Krupina; kon. cesty III/2553, Liöov, okr. Krupina";"okr. Krupina; Liöov, okr. Krupina";2,352;
cesta III. triedy;2554;"zaË. cesty III/2554, kriû. III/1556 x III/2554, okr. Krupina; kriû. III/2554 x MK, Medovarce, okr. Krupina; kon. cesty III/2554, Medovarce, okr. Krupina";"okr. Krupina; Medovarce, okr. Krupina";0,995;
cesta III. triedy;2555;"zaË. cesty III/2555, kriû. III/2555 x I/66, Dudince, okr. Krupina; kriû. III/2555 x MK, Dudince, okr. Krupina; kon. cesty III/2555, Dudince, okr. Krupina";Dudince, okr. Krupina;0,795;
